# Monthly Fama-French 3 factors (decimals, not %). Source: Kenneth R. French Data Library.
# https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html
ym,Mkt-RF,SMB,HML,RF
201905,-0.069200,-0.012600,-0.024500,0.002100
201906,0.069900,0.001100,-0.006400,0.001800
201907,0.012300,-0.019600,0.005000,0.001900
201908,-0.025500,-0.023900,-0.047700,0.001600
201909,0.014100,-0.009700,0.067600,0.001800
201910,0.020700,0.002700,-0.019200,0.001500
201911,0.038700,0.007200,-0.020000,0.001200
201912,0.027700,0.007600,0.017300,0.001400
202001,-0.001100,-0.031000,-0.062200,0.001300
202002,-0.081500,0.010800,-0.038200,0.001200
202003,-0.133700,-0.046900,-0.138300,0.001200
202004,0.136000,0.025000,-0.013400,0.000000
202005,0.055700,0.024000,-0.050000,0.000100
202006,0.024500,0.026700,-0.021700,0.000100
202007,0.058300,-0.023500,-0.014400,0.000100
202008,0.076200,-0.002000,-0.030200,0.000100
202009,-0.036400,0.000600,-0.027200,0.000100
202010,-0.020800,0.043400,0.042500,0.000100
202011,0.124500,0.058100,0.020900,0.000100
202012,0.046300,0.050100,-0.016800,0.000100
202101,-0.000700,0.071400,0.032200,0.000000
202102,0.028100,0.020200,0.072000,0.000000
202103,0.031600,-0.023300,0.073500,0.000000
202104,0.049500,-0.031900,-0.010200,0.000000
202105,0.003000,-0.002000,0.070400,0.000000
202106,0.027400,0.017000,-0.078600,0.000000
202107,0.013400,-0.039300,-0.017900,0.000000
202108,0.029400,-0.003200,-0.002300,0.000000
202109,-0.044000,0.006600,0.051200,0.000000
202110,0.066300,-0.022600,-0.005300,0.000000
202111,-0.015800,-0.013100,-0.003700,0.000000
202112,0.032300,-0.016300,0.032500,0.000100
202201,-0.061600,-0.059300,0.128600,0.000000
202202,-0.022800,0.021600,0.030600,0.000000
202203,0.030800,-0.015500,-0.019000,0.000000
202204,-0.094100,-0.013500,0.061800,0.000000
202205,-0.003400,-0.018400,0.084400,0.000300
202206,-0.084000,0.020700,-0.060000,0.000600
202207,0.095700,0.028400,-0.041500,0.000800
202208,-0.037700,0.014100,0.001800,0.001900
202209,-0.093400,-0.007600,0.000300,0.001900
202210,0.078500,0.000100,0.079700,0.002300
202211,0.046500,-0.035700,0.014800,0.002900
202212,-0.063800,-0.007600,0.013400,0.003300
202301,0.066100,0.050100,-0.039400,0.003500
202302,-0.025700,0.010500,-0.008000,0.003400
202303,0.024800,-0.054800,-0.090500,0.003600
202304,0.006200,-0.033700,-0.001200,0.003500
202305,0.003400,0.016000,-0.077900,0.003600
202306,0.064600,0.014900,-0.001300,0.004000
202307,0.032100,0.020500,0.040600,0.004500
202308,-0.023600,-0.031400,-0.011500,0.004500
202309,-0.052300,-0.025100,0.014900,0.004300
202310,-0.031500,-0.038600,0.002000,0.004700
202311,0.088800,-0.001000,0.016700,0.004400
202312,0.048500,0.063000,0.048900,0.004300
202401,0.007300,-0.050700,-0.023800,0.004700
202402,0.050700,-0.002400,-0.034300,0.004200
202403,0.028400,-0.025000,0.041600,0.004300
202404,-0.046500,-0.023700,-0.004500,0.004700
202405,0.043300,0.005500,-0.013100,0.004400
202406,0.028000,-0.030000,-0.033600,0.004100
202407,0.012200,0.068100,0.056200,0.004500
202408,0.016000,-0.034900,-0.011000,0.004800
202409,0.017200,-0.001300,-0.027600,0.004000
202410,-0.010000,-0.009900,0.008600,0.003900
202411,0.064900,0.044600,0.001600,0.004000
202412,-0.031700,-0.027100,-0.030000,0.003700
202501,0.028000,-0.019700,0.016300,0.003700
202502,-0.024400,-0.057900,0.049100,0.003300
202503,-0.063900,-0.027600,0.029000,0.003400
202504,-0.008400,-0.005900,-0.034100,0.003500
202505,0.060600,0.007000,-0.028800,0.003800
202506,0.048600,0.008300,-0.016100,0.003400
202507,0.019800,0.002700,-0.012700,0.003400
202508,0.018400,0.038700,0.044200,0.003800
202509,0.033900,-0.018500,-0.010500,0.003300
202510,0.019600,-0.005500,-0.031000,0.003700
202511,-0.001300,0.003800,0.037600,0.003000
202512,-0.003600,-0.010600,0.024200,0.003400
202601,0.010200,0.022000,0.037200,0.003000
202602,-0.011700,0.001400,0.028300,0.002800
